ID,year,region,wine,beer,vodka,champagne,brandy
83,2000,Sakha (Yakutia) Republic,2.6,15.4,15.2,0.6,0.2
84,2000,Yamalo-Nenets Autonomous Okrug,4.6,36.9,18,0.8,0.3
85,2000,Yaroslavl Oblast,3.5,57.1,18.3,1.5,0.3
86,2001,Republic of Adygea,3.8,22,7.8,0.5,0.1
87,2001,Altai Krai,2.3,39.5,12,1.4,0.1
88,2001,Amur Oblast,2.6,31.2,17.6,0.6,0.2
89,2001,Arkhangelsk Oblast,7,47.6,23.5,1.2,0.9
90,2001,Astrakhan Oblast,3.8,42.6,11.9,0.8,0.1
91,2001,Republic of Bashkortostan,1.2,34.9,10.9,0.3,0.1
92,2001,Belgorod Oblast,3.4,23.2,9.5,0.8,0.1
93,2001,Bryansk Oblast,2.7,41.6,8,0.4,0.1
94,2001,Republic of Buryatia,1.7,11.7,18.7,0.6,0.1
95,2001,Vladimir Oblast,2.4,28.5,15.3,0.6,0.1
96,2001,Volgograd Oblast,2.1,42.5,11.9,1.8,0.3
97,2001,Vologda Oblast,7.8,50.5,23,0.5,0.3
98,2001,Voronezh Oblast,3.6,37.7,9.2,1.5,0.2
99,2001,Republic of Dagestan,4.6,3.3,1.8,0.4,0.1
100,2001,Jewish Autonomous Oblast,5.1,17.8,12,0.4,0.1
101,2001,Zabaykalsky Krai,3.5,23.8,8.6,0.4,0.1
102,2001,Ivanovo Oblast,3.3,60.7,16.5,0.3,0.1
103,2001,Republic of Ingushetia,9.9,9.5,4,1.3,1.5
104,2001,Irkutsk Oblast,7.1,38.9,11.9,1.4,0.5
105,2001,Kabardino-Balkar Republic,2.7,26.5,12.4,0.4,0.6
106,2001,Kaliningrad Oblast,1.7,44.5,13.3,1.1,0.7
107,2001,Republic of Kalmykia,3.4,13.9,15.4,1.3,0.1
108,2001,Kaluga Oblast,2.5,34.1,12,0.6,0.1
109,2001,Kamchatka Krai,7.4,33.6,26.7,0.9,0.4
110,2001,Karachay-Cherkess Republic,2.3,9.4,13.4,0.2,0.1
111,2001,Republic of Karelia,5.1,28,15.9,0.4,0.2
112,2001,Kemerovo Oblast,2.1,28.6,18.8,0.6,0.2
113,2001,Kirov Oblast,2.8,20.4,14.1,0.4,0.1
114,2001,Kostroma Oblast,3.5,25.4,17.2,0.6,0.2
115,2001,Krasnodar Krai,6.6,48,8.9,1.4,0.3
116,2001,Krasnoyarsk Krai,4.9,59.6,15.4,1.5,0.6
117,2001,Republic of Crimea,,,,,
118,2001,Kurgan Oblast,2.9,34.2,12.2,0.6,0.2
119,2001,Kursk Oblast,1.7,44.5,7.4,0.5,0.1
120,2001,Leningrad Oblast,5,59.7,17.5,1.8,0.4
121,2001,Lipetsk Oblast,2.5,42.9,9.3,0.7,0.2
122,2001,Magadan Oblast,4.7,28.3,23.6,1.4,0.2
123,2001,Mari El Republic,1.6,22.6,10.4,0.3,0.1
124,2001,Republic of Mordovia,1.4,23.5,11.8,0.3,0.1
125,2001,Moscow,5,78.9,19.7,4.2,0.7
126,2001,Moscow Oblast,3.2,23.7,16.8,0.3,0.3
127,2001,Murmansk Oblast,4.6,34.7,19.7,1.8,0.6
128,2001,Nenets Autonomous Okrug,7,47.6,23.5,1.2,0.9
129,2001,Nizhny Novgorod Oblast,4.8,34.7,9.8,0.9,0.2
130,2001,Novgorod Oblast,4.6,34.7,12.6,0.4,0.2
131,2001,Novosibirsk Oblast,2.7,48.4,20.6,1.3,0.3
132,2001,Omsk Oblast,4.6,55.5,12.3,0.6,0.3
133,2001,Orenburg Oblast,2.3,34.6,10.8,0.7,0.2
134,2001,Oryol Oblast,3.4,29.9,12,1.6,0.3
135,2001,Penza Oblast,5.1,30.1,6.8,0.4,0.1
136,2001,Perm Krai,4.1,56.9,15.9,0.8,0.3
