ID,year,region,npg,birth_rate,death_rate,gdw,urbanization
80,2000,Chechen Republic,,,,82.39,35.7
81,2000,Chuvash Republic,-4.7,9.3,14,72.37,60.2
82,2000,Chukotka Autonomous Okrug,1.9,11.5,9.6,43.81,66.96
83,2000,Sakha (Yakutia) Republic,4,13.7,9.7,61.21,64
84,2000,Yamalo-Nenets Autonomous Okrug,6.1,11.7,5.6,43.71,83.3
85,2000,Yaroslavl Oblast,-10.7,7.3,18,71.45,80.44
86,2001,Republic of Adygea,-5.3,9.4,14.7,76.03,52.79
87,2001,Altai Krai,-5.1,9.6,14.7,64.85,52.8
88,2001,Amur Oblast,-4.3,10.9,15.2,59.19,66.63
89,2001,Arkhangelsk Oblast,-6.6,9.6,16.2,61.71,74.92
90,2001,Astrakhan Oblast,-4.1,10.5,14.6,66.76,67.93
91,2001,Republic of Bashkortostan,-3,10.4,13.4,72.7,64.07
92,2001,Belgorod Oblast,-7.9,8.2,16.1,73.02,65.17
93,2001,Bryansk Oblast,-10,7.9,17.9,75.74,68.6
94,2001,Republic of Buryatia,-2.2,11.8,14,64.85,59.83
95,2001,Vladimir Oblast,-11.6,8.1,19.7,70.07,79.8
96,2001,Volgograd Oblast,-7.1,8.5,15.6,69.25,74.93
97,2001,Vologda Oblast,-8,9.4,17.4,68.55,68.76
98,2001,Voronezh Oblast,-10.6,7.7,18.3,76,61.58
99,2001,Republic of Dagestan,9.2,15.3,6.1,78.61,42.42
100,2001,Jewish Autonomous Oblast,-3.9,10.8,14.7,60.6,67.04
101,2001,Zabaykalsky Krai,-2.8,12.5,15.3,64.35,63.65
102,2001,Ivanovo Oblast,-12.9,7.8,20.7,71.75,82.53
103,2001,Republic of Ingushetia,15.2,19.4,4.2,73.86,42.64
104,2001,Irkutsk Oblast,-4.6,11.2,15.8,64.17,79.32
105,2001,Kabardino-Balkar Republic,0.1,10,9.9,69.5,56.57
106,2001,Kaliningrad Oblast,-8.1,8,16.1,60.62,77.57
107,2001,Republic of Kalmykia,0.6,11.7,11.1,68.83,42.95
108,2001,Kaluga Oblast,-10.3,8,18.3,69.55,74.41
109,2001,Kamchatka Krai,-2.3,9.5,11.8,45.27,80.96
110,2001,Karachay-Cherkess Republic,-0.3,10.9,11.2,74.3,43.86
111,2001,Republic of Karelia,-8,9.4,17.4,61.83,74.47
112,2001,Kemerovo Oblast,-7.4,9.5,16.9,64.23,86.52
113,2001,Kirov Oblast,-8.7,8.3,17,68.76,71.24
114,2001,Kostroma Oblast,-11.2,8.7,19.9,72.62,66.82
115,2001,Krasnodar Krai,-5.7,9.4,15.1,72.58,53.52
116,2001,Krasnoyarsk Krai,-4.6,10,14.6,60.59,75.35
117,2001,Republic of Crimea,,,,,
118,2001,Kurgan Oblast,-6.8,9.6,16.4,71.98,56.29
119,2001,Kursk Oblast,-10.3,8.4,18.7,75.96,60.78
120,2001,Leningrad Oblast,-12.7,7.2,19.9,69.7,66.33
121,2001,Lipetsk Oblast,-9.1,8,17.1,72.08,64.09
122,2001,Magadan Oblast,-2.1,10.1,12.2,43.67,91.44
123,2001,Mari El Republic,-6.2,9.3,15.5,66.72,62.89
124,2001,Republic of Mordovia,-7.9,7.8,15.7,69.29,59.58
125,2001,Moscow,-5.7,7.5,13.2,55.85,100
126,2001,Moscow Oblast,-10.1,7.7,17.8,65.56,79.49
127,2001,Murmansk Oblast,-3.1,9.1,12.2,47.28,92.27
128,2001,Nenets Autonomous Okrug,0.9,14.6,13.7,58.88,62.33
129,2001,Nizhny Novgorod Oblast,-10.8,7.9,18.7,70.95,77.95
130,2001,Novgorod Oblast,-13.1,8.2,21.3,73.02,69.61
131,2001,Novosibirsk Oblast,-5.3,9.2,14.5,63.62,74.76
